| id                                   | section_code | program_code | program_name                                   | year_level | semester | capacity | enrolled_count | available_slots | saturday_blocked | is_active | curriculum_version   | curriculum_is_active | school_year | term_semester | term_is_active | term_start_date | term_end_date | created_at                    | updated_at                    |
| f7b47c95-0193-441a-82bd-1d77f053f4cb | BSHM 4-B     | BSHM         | Bachelor of Science in Hospitality Management  | 4          | 2        | 40       | 0              | 40              | false            | true      | BSHM Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:21:42.447545+00 | 2026-04-30 04:21:42.447545+00 |
| 588cb7d7-3b1d-47f0-ab5d-e29385800c9b | BSHM 4-C     | BSHM         | Bachelor of Science in Hospitality Management  | 4          | 2        | 40       | 0              | 40              | false            | true      | BSHM Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:21:53.420836+00 | 2026-04-30 04:21:53.420836+00 |
| cd0d20f3-af47-456d-ae06-1eee61f3c998 | BSIT 1-A     | BSIT         | Bachelor of Science in Information Technology  | 1          | 2        | 40       | 0              | 40              | true             | true      | BSIT Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-27 03:54:53.868024+00 | 2026-04-27 03:54:53.868024+00 |
| 1da18049-f051-4983-a2d0-20720348926d | BSIT 1-B     | BSIT         | Bachelor of Science in Information Technology  | 1          | 2        | 40       | 0              | 40              | true             | true      | BSIT Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-27 03:55:13.016884+00 | 2026-04-27 03:55:13.016884+00 |
| 1ee5d863-acad-428e-b426-2d36c3bc08de | BSIT 2-A     | BSIT         | Bachelor of Science in Information Technology  | 2          | 2        | 40       | 0              | 40              | false            | true      | BSIT Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-27 03:55:31.490037+00 | 2026-04-27 03:55:31.490037+00 |
| 7767d8a8-b349-4f89-83c6-93a539d1c914 | BSIT 2-B     | BSIT         | Bachelor of Science in Information Technology  | 2          | 2        | 40       | 0              | 40              | false            | true      | BSIT Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-27 03:56:07.699754+00 | 2026-04-27 03:56:07.699754+00 |
| 41f5bbc2-89e5-4f82-974c-fea0d8937edd | BSIT 3-A     | BSIT         | Bachelor of Science in Information Technology  | 3          | 2        | 40       | 0              | 40              | false            | true      | BSIT Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-27 03:56:24.656255+00 | 2026-04-27 03:56:24.656255+00 |
| 29ab4dd8-5116-4b1d-b29d-fa5e41ab1e3a | BSIT 3-B     | BSIT         | Bachelor of Science in Information Technology  | 3          | 2        | 40       | 0              | 40              | false            | true      | BSIT Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-27 03:56:38.610624+00 | 2026-04-27 03:56:38.610624+00 |
| a7c1c3e4-f467-49c8-b101-6ef165ef79b3 | BSIT 3-C     | BSIT         | Bachelor of Science in Information Technology  | 3          | 2        | 40       | 0              | 40              | false            | true      | BSIT Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-27 03:56:51.730693+00 | 2026-04-27 03:56:51.730693+00 |
| 5309e21a-b17e-4057-919d-0f94029c65e3 | BSIT 4-A     | BSIT         | Bachelor of Science in Information Technology  | 4          | 2        | 40       | 0              | 40              | false            | true      | BSIT Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-27 03:57:15.106519+00 | 2026-04-27 03:57:15.106519+00 |
| 5072c40e-07e2-4968-af18-d19d922b5b89 | BSIT 4-B     | BSIT         | Bachelor of Science in Information Technology  | 4          | 2        | 40       | 0              | 40              | false            | true      | BSIT Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-27 04:02:39.391001+00 | 2026-04-27 04:02:39.391001+00 |
| f4d8c559-556a-43d5-b5f6-9c031e5a168c | BSIT 4-C     | BSIT         | Bachelor of Science in Information Technology  | 4          | 2        | 40       | 0              | 40              | false            | true      | BSIT Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-27 04:03:17.693196+00 | 2026-04-27 04:03:17.693196+00 |
